date,stock_id,buy,name,sell,foreign,investment_trust,dealer,dealer_self,dealer_hedging
2025-02-06,1519,14524,Dealer_Hedging,7017,,,,,
2025-02-07,1519,8114,Dealer_Hedging,23236,,,,,
2025-02-07,1519,94000,Dealer_self,118025,,,,,
2025-02-07,1519,0,Investment_Trust,0,,,,,
2025-02-07,1519,306111,Foreign_Investor,1537344,,,,,
2025-02-07,1519,0,Foreign_Dealer_Self,0,,,,,
2025-02-10,1519,569946,Foreign_Investor,432681,,,,,
2025-02-10,1519,0,Foreign_Dealer_Self,0,,,,,
2025-02-10,1519,0,Investment_Trust,0,,,,,
2025-02-10,1519,19000,Dealer_self,47573,,,,,
2025-02-10,1519,8446,Dealer_Hedging,17641,,,,,
