date,stock_id,-,BadDebts,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent,Expense,GrossProfit,Income,IncomeAfterTax,IncomeAfterTaxes,IncomeBeforeTaxFromContinuingOperations,IncomeFromContinuingOperations,IncomeLossFromDiscontinuedOperation,NetChangeInProvisionsForInsuranceLiabilities,NetInterestIncome,NetNonInterestIncome,NoncontrollingInterests,OTHNOE,OperatingExpenses,OperatingIncome,OtherComprehensiveIncome,OtherComprehensiveIncomeAfterTax,OtherComprehensiveIncomeAfterTaxThePeriod,PreTaxIncome,RealizedGain,Revenue,TAX,TotalConsolidatedProfitForThePeriod,TotalNonbusinessIncome,TotalNonoperatingIncomeAndExpense,UnrealizedGain
2025-03-31,2023,,,-81814000.0,16761931000.0,-0.16,-308168000.0,,1785552000.0,,,-392827000.0,,-392827000.0,,,,,-84659000.0,,1426108000.0,359444000.0,162048000.0,,,-399696000.0,,18547483000.0,-6869000.0,-230779000.0,,-759140000.0,
2025-06-30,2023,,,-176617000.0,16839137000.0,-0.7,-1363604000.0,,1256008000.0,,,-1491455000.0,,-1491455000.0,,,,,-127851000.0,,1355781000.0,-99773000.0,-1521225000.0,,,-1663477000.0,,18095145000.0,-172022000.0,-3012680000.0,,-1563704000.0,
2023-09-30,2033,,,,120370000.0,0.0,,,12570000.0,,,-416000.0,,-416000.0,,,,,,,14586000.0,-2016000.0,-334000.0,,,214000.0,,132940000.0,630000.0,-750000.0,,2230000.0,
2023-12-31,2033,,,,134768000.0,0.05,,,16290000.0,,,4267000.0,,4267000.0,,,,,,,12545000.0,3745000.0,3908000.0,,,4723000.0,,151058000.0,456000.0,8175000.0,,978000.0,
2024-03-31,2033,,,,116097000.0,0.04,,,19634000.0,,,3383000.0,,3383000.0,,,,,,,15333000.0,4301000.0,418000.0,,,4257000.0,,135731000.0,874000.0,3801000.0,,-44000.0,
2024-06-30,2033,,,,127562000.0,0.05,,,21923000.0,,,4268000.0,,4268000.0,,,,,,,16060000.0,5863000.0,-1589000.0,,,5346000.0,,149485000.0,1078000.0,2679000.0,,-517000.0,
2024-09-30,2033,,,,119469000.0,0.06,,,16844000.0,,,4668000.0,,4668000.0,,,,,,,14869000.0,1975000.0,15499000.0,,,5415000.0,,136313000.0,747000.0,20167000.0,,3440000.0,
2024-12-31,2033,,,,136980000.0,0.04,,,19141000.0,,,3403000.0,,3403000.0,,,,,,,14362000.0,4779000.0,-15220000.0,,,4657000.0,,156121000.0,1254000.0,-11817000.0,,-122000.0,
2025-03-31,2033,,,,151936000.0,0.11,,,27998000.0,,,9075000.0,,9075000.0,,,,,,,18417000.0,9581000.0,0.0,,,11367000.0,,179934000.0,2292000.0,9075000.0,,1786000.0,
2025-06-30,2033,,,,157502000.0,0.05,,,24482000.0,,,4237000.0,,4237000.0,,,,,,,17730000.0,6752000.0,0.0,,,6416000.0,,181984000.0,2179000.0,4237000.0,,-336000.0,
2023-09-30,2239,,,163814000.0,5319075000.0,0.48,56513000.0,,813355000.0,,,87372000.0,,87372000.0,,,,,30859000.0,,638617000.0,174738000.0,590716000.0,,,119182000.0,,6132430000.0,31810000.0,678088000.0,,-55556000.0,
2023-12-31,2239,,,-66885000.0,5737183000.0,1.53,183256000.0,,948731000.0,,,223325000.0,,223325000.0,,,,,40069000.0,,711457000.0,237274000.0,-402151000.0,,,288401000.0,,6685914000.0,65076000.0,-178826000.0,,51127000.0,
2024-03-31,2239,,,144398000.0,4580134000.0,0.32,39047000.0,,723220000.0,,,55849000.0,,55849000.0,,,,,16802000.0,,585926000.0,137294000.0,392218000.0,,,78392000.0,,5303354000.0,22543000.0,448067000.0,,-58902000.0,
